0,I AM FEELING DEPRESSED,*,*,You need to first calm down.,patients_handle.aiml
0,I AM HAVING ANIXETY OR I AM FEELING ANIXOUS,*,*,Dont worry just be calm #Commatake breath in breath out.,patients_handle.aiml
0,I AM HAVING HIGH TENSION,*,*,Cool down let your mind be cleared,patients_handle.aiml
0,I AM GOING THROUGH EMOTIONAL BREAKDOWN,*,*,Dont worry#Commaif u feel serious do take appointment with the concerned doctor.,patients_handle.aiml
0,I FEEL LIKE KILLING MYSELF,*,*,Dont think like that. Please share your problem to me.,patients_handle.aiml
0,I FEEL NERVOUS,*,*,<random>#Newline<li>Dont be nervous</li>#Newline<li>You can do please have faith in yourself.</li>#Newline<li>Think about the good moments and be thankful of what you have.</li>#Newline</random>,patients_handle.aiml
0,I AM FEELING LONELY,*,*,Dont be I am here for you.,patients_handle.aiml
0,I CANT CONTROL MYSELF,*,*,<random>#Newline<li>Then please have a consultation with concerned doctor.</li>#Newline<li>Dont be if its hard please make a booking with concerned doctor</li>#Newline<li>If you can't control please share it with a therapist</li>#Newline<li>If you can't control please approach a doctor.</li>#Newline</random>,patients_handle.aiml
0,I AM FEELING DOWN AND BIT LOW,*,*,Oh dont be just trust yourself you are all okay.,patients_handle.aiml
0,WHY AM I LIKE THIS,*,*,You dont need to judge yourself with others word.,patients_handle.aiml
0,I CAN'T COME OUT OF THIS SITUATION,*,*,As a robot#Comma I can only asist you just dont think you can't you can.,patients_handle.aiml
0,MY BODY IS FEELING DOWN,*,*,Dont feel like that you are strong.,patients_handle.aiml
0,I AM SICK I FEEL SO,*,*,Then please consult a doctor.,patients_handle.aiml
0,I DONT FEEL ALIVE,*,*,<random>#Newline<li>You are alive dear.</li>#Newline<li>Live in your way #Comma don't feel bad.</li>#Newline<li>Chill #Comma look around yourself</li>#Newline</random>,patients_handle.aiml
0,MY MIND IS NOT IN MY HAND,*,*,Dont worry just have a recap of what your true courage.,patients_handle.aiml
0,I AM FEELING TO DIE OR I FEEL DEAD,*,*,<random>#Newline<li>Think of what you can achieve in your life.</li>#Newline<li>Dear be strong and do your work. You will succeed.</li>#Newline<li>Don't ever think like that#Comma you are not alone.</li>#Newline</random>,patients_handle.aiml
0,I FEEL SUICIDE OR SUICIDAL THOUGHTS,*,*,<random><li>How stupid are you.This is what you want from your life.</li>#Newline<li>No dear just stop thinking bad of yourself.</li>#Newline<li>Share your problem get relieved from all toughts you are having right now.</li>#Newline</random>,patients_handle.aiml
0,I FEEL LIKE MENTAL STRESS,*,*,Dont take things in your mind.,patients_handle.aiml
0,I AM HAVING SOME CONCERNS REGARDING MY HEALTH,*,*,I won't judge you. Please have a consultation with concerned doctor.,patients_handle.aiml
0,I AM WORRIED,*,*,Dont be worried#Comma share what you are facing.,patients_handle.aiml
0,I AM IN GREAT DISCOMFROT,*,*,<random>#Newline<li>Don't feel discomfrot.</li>#Newline<li>Just make yourself comfortable.</li>#Newline<li>Leave this thoughts away#Comma start fresh</li>#Newline</random>,patients_handle.aiml
0,I AM EMOTIONALLY DOWN,*,*,Dont be foolish or cry for something that is not yours#Commahave a faith in you.Better is coming,patients_handle.aiml
